anio;region;departamento;rango_edad;sexo;pob
2018;Amazonía;Amazonas;0 - 4;Femenino;4737
2018;Amazonía;Amazonas;10 - 14;Femenino;4379
2018;Amazonía;Amazonas;15 - 19;Femenino;3643
2018;Amazonía;Amazonas;20 - 24;Femenino;2937
2018;Amazonía;Amazonas;25 - 29;Femenino;2814
2018;Amazonía;Amazonas;30 - 34;Femenino;2616
2018;Amazonía;Amazonas;35 - 39;Femenino;2252
2018;Amazonía;Amazonas;40 - 44;Femenino;1850
2018;Amazonía;Amazonas;45 - 49;Femenino;1617
2018;Amazonía;Amazonas;5 - 9;Femenino;4749
2018;Amazonía;Amazonas;50 - 54;Femenino;1335
2018;Amazonía;Amazonas;55 - 59;Femenino;1081
2018;Amazonía;Amazonas;60 - 64;Femenino;816
2018;Amazonía;Amazonas;65 - 69;Femenino;616
2018;Amazonía;Amazonas;70 - 74;Femenino;376
2018;Amazonía;Amazonas;75 - 79;Femenino;299
2018;Amazonía;Amazonas;80 - 84;Femenino;234
2018;Amazonía;Amazonas;85 - 89;Femenino;327
2018;Amazonía;Amazonas;0 - 4;Masculino;5018
2018;Amazonía;Amazonas;10 - 14;Masculino;4777
2018;Amazonía;Amazonas;15 - 19;Masculino;4232
2018;Amazonía;Amazonas;20 - 24;Masculino;3536
2018;Amazonía;Amazonas;25 - 29;Masculino;3094
2018;Amazonía;Amazonas;30 - 34;Masculino;2719
2018;Amazonía;Amazonas;35 - 39;Masculino;2376
2018;Amazonía;Amazonas;40 - 44;Masculino;1998
2018;Amazonía;Amazonas;45 - 49;Masculino;1695
2018;Amazonía;Amazonas;5 - 9;Masculino;5023
2018;Amazonía;Amazonas;50 - 54;Masculino;1386
2018;Amazonía;Amazonas;55 - 59;Masculino;1210
2018;Amazonía;Amazonas;60 - 64;Masculino;917
2018;Amazonía;Amazonas;65 - 69;Masculino;677
2018;Amazonía;Amazonas;70 - 74;Masculino;385
2018;Amazonía;Amazonas;75 - 79;Masculino;301
2018;Amazonía;Amazonas;80 - 84;Masculino;239
2018;Amazonía;Amazonas;85 - 89;Masculino;328
2019;Amazonía;Amazonas;0 - 4;Femenino;4700
2019;Amazonía;Amazonas;10 - 14;Femenino;4471
2019;Amazonía;Amazonas;15 - 19;Femenino;3780
2019;Amazonía;Amazonas;20 - 24;Femenino;3011
2019;Amazonía;Amazonas;25 - 29;Femenino;2813
2019;Amazonía;Amazonas;30 - 34;Femenino;2643
2019;Amazonía;Amazonas;35 - 39;Femenino;2319
2019;Amazonía;Amazonas;40 - 44;Femenino;1919
2019;Amazonía;Amazonas;45 - 49;Femenino;1642
2019;Amazonía;Amazonas;5 - 9;Femenino;4741
2019;Amazonía;Amazonas;50 - 54;Femenino;1377
2019;Amazonía;Amazonas;55 - 59;Femenino;1126
2019;Amazonía;Amazonas;60 - 64;Femenino;856
2019;Amazonía;Amazonas;65 - 69;Femenino;652
2019;Amazonía;Amazonas;70 - 74;Femenino;407
2019;Amazonía;Amazonas;75 - 79;Femenino;301
2019;Amazonía;Amazonas;80 - 84;Femenino;231
2019;Amazonía;Amazonas;85 - 89;Femenino;320
2019;Amazonía;Amazonas;0 - 4;Masculino;4941
2019;Amazonía;Amazonas;10 - 14;Masculino;4807
2019;Amazonía;Amazonas;15 - 19;Masculino;4350
2019;Amazonía;Amazonas;20 - 24;Masculino;3635
2019;Amazonía;Amazonas;25 - 29;Masculino;3139
2019;Amazonía;Amazonas;30 - 34;Masculino;2747
2019;Amazonía;Amazonas;35 - 39;Masculino;2441
2019;Amazonía;Amazonas;40 - 44;Masculino;2057
2019;Amazonía;Amazonas;45 - 49;Masculino;1740
2019;Amazonía;Amazonas;5 - 9;Masculino;4992
2019;Amazonía;Amazonas;50 - 54;Masculino;1422
2019;Amazonía;Amazonas;55 - 59;Masculino;1237
2019;Amazonía;Amazonas;60 - 64;Masculino;959
2019;Amazonía;Amazonas;65 - 69;Masculino;716
2019;Amazonía;Amazonas;70 - 74;Masculino;420
2019;Amazonía;Amazonas;75 - 79;Masculino;296
2019;Amazonía;Amazonas;80 - 84;Masculino;229
2019;Amazonía;Amazonas;85 - 89;Masculino;316
2020;Amazonía;Amazonas;0 - 4;Femenino;4692
2020;Amazonía;Amazonas;10 - 14;Femenino;4612
2020;Amazonía;Amazonas;15 - 19;Femenino;3982
2020;Amazonía;Amazonas;20 - 24;Femenino;3239
2020;Amazonía;Amazonas;25 - 29;Femenino;2927
2020;Amazonía;Amazonas;30 - 34;Femenino;2795
2020;Amazonía;Amazonas;35 - 39;Femenino;2461
2020;Amazonía;Amazonas;40 - 44;Femenino;2037
2020;Amazonía;Amazonas;45 - 49;Femenino;1709
2020;Amazonía;Amazonas;5 - 9;Femenino;4799
2020;Amazonía;Amazonas;50 - 54;Femenino;1455
2020;Amazonía;Amazonas;55 - 59;Femenino;1185
2020;Amazonía;Amazonas;60 - 64;Femenino;916
2020;Amazonía;Amazonas;65 - 69;Femenino;692
2020;Amazonía;Amazonas;70 - 74;Femenino;455
2020;Amazonía;Amazonas;75 - 79;Femenino;309
2020;Amazonía;Amazonas;80 - 84;Femenino;243
2020;Amazonía;Amazonas;85 - 89;Femenino;333
2020;Amazonía;Amazonas;0 - 4;Masculino;4941
2020;Amazonía;Amazonas;10 - 14;Masculino;4920
2020;Amazonía;Amazonas;15 - 19;Masculino;4481
2020;Amazonía;Amazonas;20 - 24;Masculino;3820
2020;Amazonía;Amazonas;25 - 29;Masculino;3287
2020;Amazonía;Amazonas;30 - 34;Masculino;2888
2020;Amazonía;Amazonas;35 - 39;Masculino;2542
2020;Amazonía;Amazonas;40 - 44;Masculino;2156
2020;Amazonía;Amazonas;45 - 49;Masculino;1800
2020;Amazonía;Amazonas;5 - 9;Masculino;5043
2020;Amazonía;Amazonas;50 - 54;Masculino;1481
2020;Amazonía;Amazonas;55 - 59;Masculino;1260
2020;Amazonía;Amazonas;60 - 64;Masculino;997
2020;Amazonía;Amazonas;65 - 69;Masculino;733
2020;Amazonía;Amazonas;70 - 74;Masculino;451
2020;Amazonía;Amazonas;75 - 79;Masculino;290
2020;Amazonía;Amazonas;80 - 84;Masculino;229
2020;Amazonía;Amazonas;85 - 89;Masculino;312
2021;Amazonía;Amazonas;0 - 4;Femenino;4693
2021;Amazonía;Amazonas;10 - 14;Femenino;4695
2021;Amazonía;Amazonas;15 - 19;Femenino;4131
2021;Amazonía;Amazonas;20 - 24;Femenino;3396
2021;Amazonía;Amazonas;25 - 29;Femenino;2975
2021;Amazonía;Amazonas;30 - 34;Femenino;2865
2021;Amazonía;Amazonas;35 - 39;Femenino;2557
2021;Amazonía;Amazonas;40 - 44;Femenino;2129
2021;Amazonía;Amazonas;45 - 49;Femenino;1756
2021;Amazonía;Amazonas;5 - 9;Femenino;4796
2021;Amazonía;Amazonas;50 - 54;Femenino;1511
2021;Amazonía;Amazonas;55 - 59;Femenino;1229
2021;Amazonía;Amazonas;60 - 64;Femenino;965
2021;Amazonía;Amazonas;65 - 69;Femenino;721
2021;Amazonía;Amazonas;70 - 74;Femenino;495
2021;Amazonía;Amazonas;75 - 79;Femenino;313
2021;Amazonía;Amazonas;80 - 84;Femenino;246
2021;Amazonía;Amazonas;85 - 89;Femenino;336
2021;Amazonía;Amazonas;0 - 4;Masculino;4919
2021;Amazonía;Amazonas;10 - 14;Masculino;4969
2021;Amazonía;Amazonas;15 - 19;Masculino;4584
